Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 57,36,"['XO', ',', 'Kitty', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'new', 'love', 'story', 'unfolds', 'teen', 'matchmaker', 'Kitty', 'reunites', 'long-distance', 'boyfriend', 'Seoul', 'high', 'school', 'attended', 'late', 'mother', '.']",26,"['From', 'A', 'when', 'with', 'her', 'at', 'the', 'same', 'by', 'her']",10,0.28,
Sentence 58,40,"['Yakitori', ':', 'Soldiers', 'Misfortune', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'Earth', 'colonized', 'superior', 'alien', 'civilization', ',', 'Akira', '’', 'chance', 'better', 'future', 'enlist', 'expendable', 'Yakitori', 'foot', 'soldier', '.']",27,"['of', 'From', 'With', 'by', 'a', 's', 'only', 'at', 'a', 'is', 'to', 'as', 'an']",13,0.33,
Sentence 59,41,"['Astérix', '&', 'Obélix', ':', 'Middle', 'Kingdom', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'Gallic', 'heroes', 'forever', 'friends', 'Asterix', 'Obelix', 'journey', 'China', 'help', 'Princess', 'Sa', 'See', 'save', 'Empress', 'land', 'nefarious', 'prince', '.']",30,"['The', 'From', 'and', 'and', 'to', 'to', 'the', 'and', 'her', 'from', 'a']",11,0.27,
Sentence 60,41,"['Kathal', '-', 'Jackfruit', 'Mystery', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'two', 'prized', 'jackfruits', 'disappear', 'politician', '’', 'garden', ',', 'spirited', 'cop', '’', 'investigation', 'takes', 'unexpected', 'turn', 'digs', 'truth', '.']",28,"['A', 'From', 'When', 'from', 'a', 's', 'a', 's', 'an', 'as', 'she', 'for', 'the']",13,0.32,
Sentence 61,22,"['Muted', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'Sergio', '’', 'spoken', 'since', 'murdered', 'parents', 'six', 'years', 'ago', '.']",17,"['From', 'hasn', 't', 'he', 'his']",5,0.23,
Sentence 62,14,"[',', 'psychiatrist', 'aims', 'uncover', 'happened', 'twisted', 'investigation', '.']",8,"['Now', 'a', 'to', 'what', 'through', 'a']",6,0.43,
Sentence 63,44,"['Selling', 'Sunset', ':', 'Season', '6', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'stakes', 'stilettos', 'high', '’', 'ever', 'brokerage', ',', 'longtime', 'agents', 'make', 'big', 'changes', 'two', 'new', 'team', 'members', 'bring', 'heat', '.']",30,"['From', 'The', 'and', 'are', 'as', 'as', 'they', 've', 'been', 'at', 'the', 'as', 'and', 'the']",14,0.32,
Sentence 64,27,"['Young', ',', 'Famous', '&', 'African', ':', 'Season', '2', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'celebrity', 'crew', 'back', '—', 'claws', '.']",20,"['From', 'The', 'is', 'and', 'their', 'are', 'out']",7,0.26,
Sentence 65,18,"['Join', 'stars', 'return', 'Johannesburg', 'another', 'season', 'fun', ',', 'fights', 'drama', '.']",11,"['the', 'as', 'they', 'to', 'for', 'of', 'and']",7,0.39,
Sentence 66,47,"['Batman', ':', 'Seasons', '1-5', 'Boss', 'Baby', 'Creature', 'Cases', ':', 'Chapter', '3', '(', 'Netflix', 'Family', ')', 'Sam', 'Kit', 'back', 'collect', 'clues', 'solve', 'animal', 'mysteries', 'around', 'world', 'new', 'cases', ',', 'new', 'rides', 'new', 'creature', 'pals', '!']",34,"['The', 'The', 'The', 'and', 'are', 'to', 'the', 'and', 'more', 'from', 'the', 'with', 'and']",13,0.28,
Sentence 67,36,"['American', ':', 'Season', '5', 'MerPeople', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'MerPeople', 'dives', 'fascinating', 'world', 'underwater', 'performers', 'turned', 'love', 'mystical', 'sea', 'creatures', 'real-world', 'careers', '.']",25,"['All', 'From', 'into', 'the', 'of', 'who', 'have', 'their', 'for', 'the', 'into']",11,0.31,
Sentence 68,36,"['putting', 'dazzling', 'small-town', 'shows', 'Florida', 'crowning', 'King', 'Queen', 'Seas', 'Bahamas', ',', 'series', 'take', 'journey', 'passion', 'perseverance', '.']",17,"['From', 'on', 'in', 'to', 'the', 'of', 'the', 'and', 'of', 'the', 'in', 'the', 'this', 'will', 'you', 'on', 'a', 'of', 'and']",19,0.53,
Sentence 69,20,"['Get', 'ready', 'set', 'sail', 'unforgettable', 'voyage', 'immerse', 'world', 'fantasy', 'becomes', 'reality', '.']",12,"['to', 'on', 'an', 'and', 'yourself', 'in', 'a', 'where']",8,0.4,
Sentence 70,36,"['Victim/Suspect', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'journalist', 'digs', 'case', 'woman', 'charged', 'falsely', 'reporting', 'rape', ',', 'pattern', 'emerges', ':', 'authorities', 'turning', 'tables', 'victims', '.']",24,"['From', 'When', 'a', 'into', 'a', 'of', 'a', 'with', 'a', 'a', 'the', 'on']",12,0.33,
Sentence 71,32,"['Wanda', 'Sykes', ':', '’', 'Entertainer', '(', 'Netflix', 'Comedy', ')', 'Netflix', ':', 'Legendary', 'comedian', ',', 'actress', 'producer', 'Wanda', 'Sykes', 'returns', 'second', 'hour-long', 'Netflix', 'comedy', 'special', '.']",25,"['I', 'm', 'An', 'From', 'and', 'for', 'her']",7,0.22,
Sentence 72,46,"['challenges', 'raising', 'Gen', 'Z', 'teens', 'dilemmas', 'liberal', 'hyper', 'charged', 'political', 'climate', ',', 'Sykes', ',', 'renowned', 'social', 'commentary', ',', 'delivers', 'insightful', 'ferocious', 'wit', 'candor', 'audiences', 'come', 'know', 'love', '.']",28,"['From', 'the', 'of', 'to', 'the', 'of', 'being', 'a', 'in', 'a', 'for', 'her', 'her', 'and', 'and', 'have', 'to', 'and']",18,0.39,
Sentence 73,35,"['Hard', 'Feelings', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'Two', 'best', 'friends', 'try', 'make', 'high', 'school', 'dealing', 'embarrassing', 'new', 'urges', '—', 'inconvenient', 'feelings', '.']",23,"['From', 'to', 'it', 'through', 'while', 'with', 'and', 'their', 'very', 'for', 'each', 'other']",12,0.34,
Sentence 74,44,"['Mother', '’', 'Day', '(', 'Netflix', 'Film', ')', 'Netflix', ':', 'son', '’', 'never', 'known', 'gets', 'kidnapped', ',', 'former', 'special', 'agent', 'Nina', 'dusts', 'deadly', 'skills', 'bring', 'home', '—', 'matter', 'gets', 'way', '.']",30,"['s', 'From', 'When', 'the', 'she', 's', 'off', 'her', 'to', 'him', 'no', 'who', 'in', 'her']",14,0.32,
Sentence 75,48,"['Rhythm', '+', 'Flow', 'France', ':', 'Season', '2', '(', 'Netflix', 'Series', ')', '(', 'new', 'episodes', ')', 'Netflix', ':', 'fresh', 'batch', 'aspiring', 'artists', 'competes', '100,000', 'euro', 'prize', 'claim', 'French', 'rap', 'fame', 'competition', 'judged', 'Niska', ',', 'Shay', 'SCH', '.']",36,"['From', 'A', 'of', 'for', 'a', 'and', 'the', 'to', 'in', 'this', 'by', 'and']",12,0.25,
Sentence 76,20,"['Ultimatum', ':', 'Queer', 'Love', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'Tie', 'knot', 'call', 'quits', '?']",15,"['The', 'From', 'the', 'or', 'it']",5,0.25,
Sentence 77,76,"['Five', 'long-term', 'couples', 'put', 'pressure', 'get', 'married', 'move', 'queer-centric', 'spin-off', '“', 'Ultimatum', ':', 'Marry', 'Move', 'On.', '”', 'FUBAR', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'father', 'daughter', 'learn', '’', 'secretly', 'working', 'CIA', 'Operatives', 'years', ',', 'realize', 'entire', 'relationship', 'lie', 'truly', '’', 'know', 'one', 'another', '.']",44,"['are', 'under', 'to', 'or', 'on', 'in', 'this', 'of', 'The', 'or', 'From', 'When', 'a', 'and', 'that', 'they', 've', 'each', 'been', 'as', 'for', 'they', 'their', 'has', 'been', 'a', 'and', 'they', 'don', 't', 'at', 'all']",32,0.42,
Sentence 78,25,"['Forced', 'team', 'partners', ',', 'series', 'tackles', 'universal', 'family', 'dynamics', 'set', 'global', 'backdrop', 'spies', ',', 'action', 'humor', '.']",17,"['to', 'up', 'as', 'the', 'against', 'a', 'of', 'and']",8,0.32,
