Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 91,29,"['``', 'Mrs.', 'Davis', ',', ""''"", 'even', 'though', ""'s"", 'thousand', 'different', 'genres', 'per', 'episode', ',', '100', '%', 'want', ',', 'completely', '.']",20,"['it', 'a', 'this', 'is', 'of', 'what', 'I', 'to', 'do']",9,0.31,
Sentence 92,31,"[""'s"", 'like', 'ultimate', 'acting', 'cat', 'toy', ',', ""'s"", 'jobs', 'ask', '5', '%', 'ones', 'lose', 'sleep', '.']",16,"['It', 'the', 'and', 'it', 'the', 'that', 'you', 'to', 'do', 'that', 'are', 'the', 'that', 'you', 'over']",15,0.48,
Sentence 93,10,"[""'s"", 'like', 'industry', 'completely', 'changed', '.']",6,"['It', 'not', 'the', 'has']",4,0.4,
Sentence 94,14,"[""'s"", 'like', 'everything', ""'s"", 'better', 'females', 'Hollywood', '.']",8,"['It', 'not', 'all', 'now', 'for', 'in']",6,0.43,
Sentence 95,7,"['parents', 'actors', '.']",3,"['Both', 'of', 'your', 'are']",4,0.57,
Sentence 96,6,"['give', 'advice', '?']",3,"['Did', 'they', 'you']",3,0.5,
Sentence 97,24,"['dad', 'actor', 'Episcopalian', 'priest', ',', 'talked', 'nuns', 'religion', 'preparation', 'part', '.']",11,"['My', 'is', 'an', 'and', 'an', 'so', 'we', 'more', 'about', 'and', 'in', 'for', 'this']",13,0.54,
Sentence 98,12,"[""'s"", 'funny', ',', 'parents', 'two', 'different', 'actors', '.']",8,"['It', 'my', 'are', 'very']",4,0.33,
Sentence 99,24,"['dad', ',', 'call', 'Atticus', 'Finch', ',', ""'s"", 'gravitas', 'incarnate', ',', 'plays', 'solemn', 'butlers', 'lawyer', 'trust', '.']",16,"['My', 'I', 'him', 'he', 'and', 'the', 'you', 'can']",8,0.33,
Sentence 100,1,['.'],1,[],0,0.0,
Sentence 101,1,['.'],1,[],0,0.0,
Sentence 102,4,['?'],1,"['or', 'can', 'you']",3,0.75,
Sentence 103,12,"['mom', 'farce', 'incarnate', ',', 'like', 'Lucille', 'Ball', 'basically', '.']",9,"['My', 'is', 'is']",3,0.25,
Sentence 104,23,"['``', ""'s"", 'jobs', 'ask', '5', '%', 'ones', 'lose', 'sleep', '.', ""''""]",11,"['It', 'the', 'that', 'you', 'to', 'do', 'that', 'are', 'the', 'that', 'you', 'over']",12,0.52,
Sentence 105,13,"['part', 'much', 'love', 'letter', '.']",5,"['This', 'is', 'very', 'a', 'to', 'both', 'of', 'them']",8,0.62,
Sentence 106,25,"['Simone', 'serious', ',', ""'s"", 'gravitas', 'butler', 'Lucille', 'Ball', ',', ""'s"", ""'m"", 'striving', '.']",13,"['can', 'be', 'very', 'she', 'both', 'a', 'and', 'or', 'that', 'what', 'I', 'for']",12,0.48,
Sentence 107,15,"['strange', 'trying', 'categorize', 'show', 'comedy', 'drama', '.']",7,"['It', 'was', 'very', 'to', 'this', 'as', 'a', 'or']",8,0.53,
Sentence 108,12,"['think', 'landed', 'drama', ""'s"", 'hour-long', '.']",6,"['I', 'they', 'on', 'just', 'because', 'it']",6,0.5,
Sentence 109,18,"[""'m"", 'like', ',', '``', 'fall', 'lot', 'banana', 'peels', 'drama', '.', ""''""]",11,"['I', 'I', 'on', 'a', 'of', 'for', 'a']",7,0.39,
Sentence 110,13,"['hardest', 'laughs', 'life', 'set', '.']",5,"['Some', 'of', 'the', 'of', 'my', 'were', 'on', 'this']",8,0.62,
Sentence 111,8,"['much', 'fun', 'together', '.']",4,"['We', 'just', 'had', 'so']",4,0.5,
Sentence 112,6,"['daughter', '.']",2,"['Now', 'you', 'have', 'a']",4,0.67,
Sentence 113,28,"['want', 'tell', ',', 'years', ""'s"", 'got', '1.2', 'million', 'followers', 'whatever', 'version', 'TikTok', '?']",13,"['What', 'do', 'you', 'to', 'her', 'if', 'in', 'a', 'few', 'she', 'her', 'on', 'of', 'there', 'is']",15,0.54,
Sentence 114,14,"[""'m"", 'hoping', ""'re"", 'generation', 'driving', 'without', 'seat', 'belts', '.']",9,"['I', 'that', 'we', 'the', 'just']",5,0.36,
